Tools,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495134,1,OK,0.0003477,0.7337085,-0.6793961,0.0096210,-43.365,-67.062,-140.291,0.0365556,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495134,1,OK,0.3694132,-0.7133762,0.4571460,-0.3816357,-263.145,34.358,-20.544,0.1058820,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495142,1,OK,0.0003580,0.7337073,-0.6793976,0.0096114,-43.366,-67.061,-140.293,0.0365003,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495142,1,OK,0.3679292,-0.7121546,0.4578697,-0.3844727,-262.490,34.110,-19.684,0.1055842,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495150,1,OK,0.0003721,0.7337042,-0.6794010,0.0096053,-43.369,-67.060,-140.294,0.0366182,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495150,1,OK,0.3683277,-0.7082458,0.4621065,-0.3862385,-261.648,33.905,-18.510,0.1059127,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495158,1,OK,0.0003656,0.7337029,-0.6794023,0.0096171,-43.367,-67.061,-140.294,0.0367173,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495158,1,OK,0.3670881,-0.7059790,0.4634433,-0.3899491,-260.499,33.521,-17.307,0.1030567,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495166,1,OK,0.0003778,0.7337061,-0.6793989,0.0096074,-43.367,-67.061,-140.294,0.0365498,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495166,1,OK,0.3621053,-0.7078064,0.4591559,-0.3963150,-259.193,33.070,-16.211,0.0999596,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495174,1,OK,0.0003819,0.7337094,-0.6793955,0.0096000,-43.367,-67.060,-140.294,0.0363640,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495174,1,OK,0.3544430,-0.7110822,0.4537559,-0.4035317,-257.926,32.893,-15.102,0.0931261,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495182,1,OK,0.0003820,0.7337090,-0.6793959,0.0096021,-43.366,-67.060,-140.294,0.0364500,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495182,1,OK,0.3465910,-0.7159507,0.4455669,-0.4108033,-256.839,32.887,-14.124,0.0957884,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495190,1,OK,0.0003797,0.7337086,-0.6793964,0.0095982,-43.365,-67.059,-140.295,0.0365183,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495190,1,OK,0.3442038,-0.7159401,0.4448573,-0.4135886,-255.808,33.000,-13.260,0.0954014,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495198,1,OK,0.0003676,0.7337067,-0.6793983,0.0096015,-43.364,-67.059,-140.295,0.0365731,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495198,1,OK,0.3453843,-0.7128312,0.4482872,-0.4142704,-254.623,32.967,-12.422,0.0926269,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,495206,1,OK,0.0003717,0.7337066,-0.6793984,0.0096017,-43.363,-67.059,-140.295,0.0365429,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,495206,1,OK,0.3441008,-0.7113966,0.4500302,-0.4159114,-253.177,32.783,-11.717,0.0985006,0
