Tools,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2306958,1,OK,0.0008278,-0.7341302,0.6789414,-0.0095232,-43.591,-67.085,-140.099,0.0363252,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2306958,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2306966,1,OK,0.0008335,-0.7341326,0.6789388,-0.0095232,-43.590,-67.086,-140.099,0.0363898,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2306966,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2306974,1,OK,0.0008350,-0.7341315,0.6789400,-0.0095279,-43.591,-67.086,-140.099,0.0364850,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2306974,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2306982,1,OK,0.0008335,-0.7341296,0.6789420,-0.0095287,-43.591,-67.086,-140.098,0.0364869,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2306982,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2306990,1,OK,0.0008393,-0.7341277,0.6789439,-0.0095423,-43.589,-67.086,-140.097,0.0366287,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2306990,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2306998,1,OK,0.0008509,-0.7341244,0.6789472,-0.0095555,-43.588,-67.086,-140.097,0.0368073,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2306998,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2307006,1,OK,0.0008587,-0.7341273,0.6789439,-0.0095690,-43.586,-67.088,-140.096,0.0368234,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2307006,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2307014,1,OK,0.0008488,-0.7341277,0.6789435,-0.0095723,-43.588,-67.089,-140.098,0.0369411,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2307014,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2307022,1,OK,0.0008503,-0.7341257,0.6789456,-0.0095679,-43.587,-67.091,-140.095,0.0370088,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2307022,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
2,Port 12: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,2307030,1,OK,0.0008407,-0.7341237,0.6789478,-0.0095679,-43.588,-67.093,-140.096,0.0370784,0,Port 10: NDI-MF2 610060   CAE0-L00044  s/n:3A3BC400 Channel:0,2307030,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
