Tools,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457638,1,OK,0.0052697,-0.6861072,0.7268785,0.0296102,-112.034,56.396,-142.773,0.0318758,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457638,1,OK,-0.0863110,0.4930706,-0.7360296,0.4557327,-66.025,-27.055,57.226,0.0720954,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457646,1,OK,0.0052415,-0.6861176,0.7268695,0.0295966,-112.035,56.395,-142.777,0.0318634,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457646,1,OK,-0.0868493,0.4956801,-0.7352743,0.4540157,-66.320,-26.415,56.629,0.0718793,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457654,1,OK,0.0052654,-0.6861288,0.7268607,0.0295473,-112.040,56.396,-142.782,0.0322271,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457654,1,OK,-0.0867057,0.4988373,-0.7340116,0.4526262,-66.716,-25.638,55.923,0.0731976,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457662,1,OK,0.0051735,-0.6861314,0.7268572,0.0295908,-112.043,56.395,-142.784,0.0320121,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457662,1,OK,-0.0868074,0.5019669,-0.7324340,0.4517014,-67.241,-24.868,55.041,0.0751593,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457670,1,OK,0.0051868,-0.6861387,0.7268517,0.0295528,-112.047,56.397,-142.791,0.0320381,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457670,1,OK,-0.0869754,0.5044547,-0.7310844,0.4510835,-67.748,-24.048,54.176,0.0734132,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457678,1,OK,0.0051527,-0.6861336,0.7268571,0.0295456,-112.050,56.398,-142.790,0.0322025,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457678,1,OK,-0.0869037,0.5092968,-0.7282829,0.4501871,-68.284,-23.065,53.332,0.0769836,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457686,1,OK,0.0051469,-0.6861455,0.7268467,0.0295270,-112.056,56.401,-142.796,0.0324532,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457686,1,OK,-0.0900304,0.5129967,-0.7269016,0.4475969,-69.022,-22.027,52.496,0.0763272,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457694,1,OK,0.0050875,-0.6861462,0.7268461,0.0295329,-112.060,56.402,-142.802,0.0321518,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457694,1,OK,-0.0910941,0.5159028,-0.7255474,0.4462366,-69.749,-21.002,51.638,0.0757947,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457702,1,OK,0.0050352,-0.6861576,0.7268356,0.0295360,-112.066,56.403,-142.808,0.0320985,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457702,1,OK,-0.0922824,0.5175826,-0.7256538,0.4438680,-70.455,-20.133,50.722,0.0773153,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457710,1,OK,0.0050330,-0.6861592,0.7268357,0.0294960,-112.072,56.404,-142.815,0.0324156,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457710,1,OK,-0.0963399,0.5187025,-0.7269620,0.4395368,-71.324,-19.256,49.740,0.0784797,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457718,1,OK,0.0049991,-0.6861638,0.7268320,0.0294870,-112.079,56.405,-142.819,0.0325306,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457718,1,OK,-0.0984438,0.5216606,-0.7260342,0.4370965,-72.221,-18.313,48.838,0.0799691,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457726,1,OK,0.0049742,-0.6861722,0.7268250,0.0294681,-112.085,56.407,-142.826,0.0328299,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457726,1,OK,-0.0977509,0.5242116,-0.7241857,0.4372667,-73.025,-17.394,48.101,0.0819107,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457734,1,OK,0.0049034,-0.6861723,0.7268248,0.0294831,-112.089,56.407,-142.831,0.0327107,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457734,1,OK,-0.1010673,0.5253272,-0.7235975,0.4361461,-73.973,-16.696,47.602,0.0781465,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457742,1,OK,0.0049278,-0.6861792,0.7268204,0.0294282,-112.094,56.406,-142.835,0.0329643,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457742,1,OK,-0.1006731,0.5292059,-0.7206610,0.4364101,-74.871,-15.825,47.267,0.0800405,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457750,1,OK,0.0048742,-0.6861863,0.7268136,0.0294388,-112.098,56.404,-142.840,0.0328997,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457750,1,OK,-0.1018748,0.5316135,-0.7190573,0.4358499,-75.714,-15.188,47.021,0.0817106,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457758,1,OK,0.0048872,-0.6861999,0.7268016,0.0294145,-112.099,56.404,-142.846,0.0328247,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457758,1,OK,-0.1028344,0.5336389,-0.7175918,0.4355648,-76.411,-14.552,46.879,0.0835464,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457766,1,OK,0.0048480,-0.6862006,0.7268011,0.0294178,-112.099,56.400,-142.847,0.0328290,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457766,1,OK,-0.1073130,0.5349806,-0.7171403,0.4335776,-77.166,-14.127,46.991,0.0810103,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457774,1,OK,0.0048680,-0.6862092,0.7267936,0.0293994,-112.104,56.399,-142.853,0.0330606,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457774,1,OK,-0.1068463,0.5366788,-0.7152594,0.4346996,-77.729,-13.600,47.186,0.0824028,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457782,1,OK,0.0048882,-0.6862100,0.7267939,0.0293699,-112.104,56.397,-142.854,0.0332082,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457782,1,OK,-0.1071158,0.5382993,-0.7141117,0.4345165,-78.278,-13.281,47.327,0.0856893,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457790,1,OK,0.0048868,-0.6862156,0.7267877,0.0293902,-112.102,56.396,-142.852,0.0329217,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457790,1,OK,-0.1083309,0.5384534,-0.7142982,0.4337170,-78.775,-13.001,47.401,0.0864175,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457798,1,OK,0.0049028,-0.6862153,0.7267881,0.0293873,-112.101,56.396,-142.852,0.0329194,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457798,1,OK,-0.1079964,0.5399267,-0.7126905,0.4346126,-79.328,-12.967,47.533,0.0899513,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457806,1,OK,0.0049232,-0.6862048,0.7267976,0.0293941,-112.102,56.397,-142.853,0.0327628,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457806,1,OK,-0.1056857,0.5389494,-0.7120992,0.4373543,-79.747,-13.165,47.617,0.0897263,0
2,Port 10: NDI-MF2 610066   T6D0-S00591  s/n:39BB9800 Channel:0,1457814,1,OK,0.0049320,-0.6862004,0.7268007,0.0294167,-112.099,56.397,-142.850,0.0324429,0,Port 11: NDI-MF2 610060   CAE0-L00032  s/n:3988A000 Channel:0,1457814,1,OK,-0.1017702,0.5395715,-0.7112018,0.4389732,-80.271,-13.579,47.414,0.0915757,0
